,Year,Model,Condition,Consumer_Rating,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
127,2022,pilot sport,New,4.6,sonic gray pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,CO,Dealer
128,2022,accord sport 1.5t,New,5.0,sonic gray pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,255,5.0,5.0,5.0,5.0,5.0,5.0,IN,Dealer
129,2018,accord touring,Honda Certified,5.0,modern steel metallic,gray,FWD,29–35,Gasoline,variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,14864,4.8,4.8,4.7,4.7,4.8,4.8,NJ,Dealer
130,2019,odyssey touring,Used,4.1,gray,gray,FWD,19–28,Gasoline,10-speed automatic,V6 Cylinder Engine,46336,4.8,4.6,4.5,4.3,4.7,4.5,FL,Dealer
131,2015,accord ex,Used,4.8,hematite metallic,black,FWD,27–36,Gasoline,automatic cvt,2.4L I4 16V GDI DOHC,78323,4.7,4.6,4.7,4.7,4.7,4.8,NY,Dealer
132,2017,accord hybrid base,Used,4.9,platinum white pearl,mocha,FWD,47–49,Hybrid,cvt,4 Cylinder Engine,83511,4.8,4.8,4.7,4.6,4.9,4.8,MA,Dealer
133,2021,ridgeline sport,Honda Certified,3.9,platinum white pearl,black,AWD,18–24,Gasoline,automatic,Regular Unleaded V-6 3.5 L/212,21458,4.9,4.7,4.7,4.5,4.9,4.6,WI,Dealer
134,2022,accord hybrid sport,Used,4.3,platinum white pearl,black,FWD,41–44,Hybrid,automatic cvt,2.0L I4 16V MPFI DOHC Hybrid,12271,4.9,5.0,5.0,4.9,4.9,5.0,NY,Dealer
135,2022,accord sport 2.0t,Used,4.5,still night pearl,black,FWD,22–32,Gasoline,10-speed automatic,2.0L I4 16V GDI DOHC Turbo,4261,5.0,5.0,5.0,5.0,5.0,5.0,MO,Dealer
136,2021,cr-v hybrid touring,Used,2.8,obsidian blue pearl,gray,AWD,35–40,Hybrid,automatic cvt,2.0L I4 16V MPFI DOHC Hybrid,23701,4.8,4.8,4.8,4.7,4.8,4.8,TX,Dealer
137,2023,cr-v hybrid sport touring,New,4.0,platinum white pearl,gray,AWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,1,5.0,3.0,4.0,4.0,5.0,5.0,IN,Dealer
138,2023,pilot ex-l 8-passenger,New,2.7,lunar silver metallic,gray,AWD,23–31,Gasoline,automatic,3.5L V6 24V GDI DOHC,0,5.0,4.6,4.2,4.7,5.0,4.5,VA,Dealer
139,2022,pilot special edition,New,4.5,dark cherry pearl,beige,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,8,5.0,5.0,5.0,5.0,5.0,5.0,NJ,Dealer
140,2021,pilot touring 8-passenger,Used,3.9,obsidian blue pearl,gray,AWD,19–26,Gasoline,automatic,Regular Unleaded V-6 3.5 L/212,34907,4.9,4.8,4.8,4.7,4.7,4.8,WI,Dealer
141,2021,passport ex-l,Used,3.5,obsidian blue pearl,gray,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,34443,4.9,4.7,4.8,4.6,4.8,4.8,OH,Dealer
142,2023,cr-v ex-l,New,3.9,urban gray pearl,black,FWD,23–31,Gasoline,automatic cvt,1.5L I4 16V DOHC,6,5.0,5.0,5.0,4.0,4.0,5.0,CA,Dealer
143,2023,hr-v sport,New,5.0,platinum white pearl,black,AWD,23–31,Gasoline,automatic cvt,2.0L I4 16V GDI DOHC,5,4.0,5.0,4.0,5.0,5.0,5.0,IL,Dealer
144,2020,odyssey elite,Used,4.9,lunar silver metallic,gray,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,34082,4.8,4.8,4.7,4.6,4.7,4.7,IL,Dealer
145,2022,pilot trailsport,New,4.6,sonic gray pearl,mocha,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,8,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
146,2022,odyssey ex-l,Used,4.3,white,black,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,13325,4.3,4.4,4.3,4.1,4.3,4.3,VA,Dealer
147,2022,civic sport,Used,4.1,black,gray,FWD,30–37,Gasoline,automatic cvt,2.0L I4 16V GDI DOHC,15475,4.6,4.9,4.4,4.6,4.6,4.7,TX,Dealer
148,2018,accord ex-l,Used,4.7,obsidian blue pearl,black,FWD,30–38,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,95131,4.8,4.8,4.7,4.7,4.8,4.8,NV,Dealer
149,2019,passport touring,Used,4.7,platinum white pearl,mocha,FWD,20–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,34000,4.8,4.7,4.7,4.6,4.7,4.8,TX,Dealer
150,2023,pilot trailsport,New,4.9,sky,black,AWD,23–31,Gasoline,10-speed automatic,3.5L V6 24V GDI DOHC,10,4.8,3.6,4.9,4.8,4.9,4.7,TX,Dealer
151,2021,passport elite,Used,3.8,platinum white pearl,gray,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10714,4.9,4.7,4.8,4.6,4.8,4.8,OR,Dealer
152,2018,clarity plug-in hybrid touring,Used,4.0,green,beige,FWD,23–31,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,56576,4.8,4.7,4.6,4.6,4.4,4.7,IL,Dealer
153,2022,ridgeline rtl,New,5.0,pacific pewter metallic,black,AWD,18–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,23,5.0,4.9,4.9,4.3,4.7,5.0,GA,Dealer
154,2022,pilot trailsport,New,5.0,platinum white pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,3,5.0,5.0,5.0,5.0,5.0,5.0,NC,Dealer
155,2021,accord sport 2.0t,Used,4.8,black,black,FWD,22–32,Gasoline,10-speed automatic,2.0L I4 16V GDI DOHC Turbo,21979,4.9,4.8,4.8,4.8,4.9,4.8,CO,Dealer
156,2023,odyssey touring,New,4.8,radiant red,beige,FWD,23–31,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,4.0,4.0,4.0,5.0,OH,Dealer
157,2019,passport sport,Used,4.5,black,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,28631,4.8,4.7,4.7,4.6,4.7,4.8,WA,Dealer
158,2020,cr-v lx,Used,4.8,radiant red metallic,gray,AWD,27–32,Gasoline,cvt w/sport mode,4 Cylinder Engine,34260,4.9,4.8,4.8,4.8,4.9,4.9,WI,Dealer
159,2018,civic ex,Used,3.9,cosmic blue,gray,FWD,31–40,Gasoline,variable,Regular Unleaded I-4 2.0 L/122,76707,4.7,4.7,4.8,4.8,4.9,4.8,MN,Dealer
160,2022,pilot trailsport,New,4.4,crystal black,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer
161,2023,odyssey elite,New,5.0,radiant red metallic ii,beige,FWD,23–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,20,5.0,5.0,4.0,4.0,4.0,5.0,GA,Dealer
162,2013,insight lx,Used,4.9,white,gray,FWD,41–44,Hybrid,automatic cvt,1.3L I4 8V MPFI SOHC Hybrid,60481,4.4,4.5,4.3,4.6,4.4,4.6,FL,Dealer
163,2022,pilot sport,New,5.0,sonic gray pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,13,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
164,2020,civic si base,Used,4.4,white,black,FWD,26–36,Gasoline,6-speed manual,1.5L I4 16V GDI DOHC Turbo,41000,4.8,4.8,4.8,4.8,4.9,4.9,VA,Dealer
165,2020,pilot ex-l,Used,5.0,red,beige,FWD,19–27,Gasoline,6-speed automatic,3.5L V6 24V GDI SOHC,41771,4.6,4.5,4.2,4.1,4.5,4.1,NC,Dealer
166,2022,pilot trailsport,New,4.8,sonic gray pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,3,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer
167,2022,passport elite,New,4.7,obsidian blue pearl,gray,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,9352,5.0,5.0,4.9,5.0,4.9,5.0,WA,Dealer
168,2023,civic si base,New,4.6,silver,mocha,FWD,23–31,Gasoline,6-speed manual,1.5L I4 16V GDI DOHC Turbo,56,4.8,5.0,4.6,4.7,4.7,4.5,CA,Dealer
169,2022,odyssey ex-l,Honda Certified,4.8,modern steel metallic,black,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,21668,4.3,4.4,4.3,4.1,4.3,4.3,IL,Dealer
170,2023,cr-v hybrid sport touring,New,4.7,platinum white pearl,black,AWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,7,5.0,3.0,4.0,4.0,5.0,5.0,IN,Dealer
171,2006,element ex-p,Used,4.4,blue,gray / blue,FWD,22–26,Gasoline,4-speed automatic,2.4L I4 16V MPFI DOHC,127128,4.2,4.4,4.1,4.5,4.5,4.6,FL,Dealer
172,2022,odyssey ex,Used,4.3,blue,beige,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,19914,4.3,4.4,4.3,4.1,4.3,4.3,IN,Dealer
173,2023,passport elite,New,4.7,sonic gray pearl,black,AWD,23–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,0,5.0,4.8,5.0,4.0,5.0,4.9,IN,Dealer
174,2019,insight ex,Used,3.7,black,mocha,FWD,49–55,Hybrid,cvt,4 Cylinder Engine,57150,4.6,4.8,4.5,4.7,4.8,4.8,FL,Dealer
175,2021,pilot special edition,Used,4.2,modern steel metallic,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,36318,4.9,4.8,4.8,4.7,4.7,4.8,NY,Dealer
176,2023,accord hybrid sport-l,New,4.8,silver,black,FWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,12,4.6,4.5,5.0,4.7,4.9,4.8,FL,Dealer
177,2023,ridgeline black edition,New,5.0,platinum white,black,AWD,23–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10,5.0,4.8,4.8,4.2,5.0,5.0,FL,Dealer
178,2022,civic sport,Used,4.8,crystal black pearl,black,FWD,30–37,Gasoline,automatic cvt,2.0L I4 16V GDI DOHC,33414,4.6,4.9,4.4,4.6,4.6,4.7,OH,Dealer
179,2020,odyssey elite,Used,4.4,crystal black pearl,gray,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,41053,4.8,4.8,4.7,4.6,4.7,4.7,WI,Dealer
180,2023,pilot elite,New,4.3,white,brown,AWD,19–25,Gasoline,10-speed automatic,V6 Cylinder Engine,1,4.6,4.7,4.7,4.0,5.0,5.0,UT,Dealer
181,2017,cr-v ex,Used,4.8,blue,gray,AWD,27–33,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,71043,4.8,4.8,4.7,4.7,4.8,4.8,IN,Dealer
182,2022,accord sport se,New,5.0,still night pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,2,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer
183,2020,civic lx,Honda Certified,4.6,cosmic blue metallic,black,FWD,30–38,Gasoline,automatic cvt,2.0L I4 16V MPFI DOHC,14943,4.8,4.8,4.9,4.8,4.9,4.9,MI,Dealer
184,2015,odyssey ex,Used,4.7,gray,gray,FWD,19–28,Gasoline,6-speed automatic,3.5L V6 24V MPFI SOHC,105362,4.8,4.6,4.7,4.6,4.7,4.8,IN,Dealer
185,2022,pilot trailsport,New,5.0,gray,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,PA,Dealer
186,2023,passport ex-l,New,4.6,crystal black pearl,black,AWD,23–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,7,4.9,4.3,4.7,4.4,4.7,4.7,NV,Dealer
187,2023,cr-v hybrid sport touring,New,3.9,radiant red metallic,black,AWD,34–40,Hybrid,variable,Gas/Electric I-4 2.0 L/122,1,5.0,3.0,4.0,4.0,5.0,5.0,WI,Dealer
188,2021,passport touring,Used,4.8,deep scarlet pearl,gray,FWD,20–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,16623,4.9,4.7,4.8,4.6,4.8,4.8,CA,Dealer
189,2023,civic sport,New,4.6,sonic gray pearl,mocha,FWD,23–31,Gasoline,automatic cvt,2.0L I4 16V GDI DOHC,8,4.8,4.9,4.6,4.1,5.0,4.8,IL,Dealer
190,2020,pilot ex,Used,5.0,lunar silver metallic,gray,FWD,19–27,Gasoline,6-speed automatic,3.5L V6 24V GDI SOHC,53295,4.6,4.5,4.2,4.1,4.5,4.1,AZ,Dealer
191,2023,hr-v ex-l,New,4.8,crystal black pearl,black,AWD,23–31,Gasoline,automatic cvt,2.0L I4 16V GDI DOHC,3,4.0,5.0,4.0,5.0,5.0,5.0,VA,Dealer
192,2022,pilot ex-l,New,4.6,lunar silver metallic,mocha,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
193,2014,cr-v ex-l,Used,4.8,basque red pearl ii,beige,FWD,23–31,Gasoline,5-speed automatic,2.4L I4 16V MPFI DOHC,69266,4.5,4.5,4.5,4.5,4.6,4.7,OR,Dealer
194,2022,accord sport 1.5t,New,4.9,lunar silver metallic,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,11,5.0,5.0,5.0,5.0,5.0,5.0,NJ,Dealer
195,2022,pilot special edition,New,5.0,crystal black pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,6,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer
196,2019,civic type r touring,Honda Certified,3.0,championship white,red / black,FWD,22–28,Gasoline,6-speed manual,2.0L I4 16V GDI DOHC Turbo,47179,4.6,4.7,5.0,4.8,4.8,4.8,OH,Dealer
197,2022,pilot sport,Used,5.0,lunar silver metallic,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,9144,5.0,5.0,5.0,5.0,5.0,5.0,MI,Dealer
198,2022,pilot ex-l,New,4.6,modern steel metallic,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,100,5.0,5.0,5.0,5.0,5.0,5.0,ME,Dealer
199,2020,odyssey touring,Used,4.9,pacific pewter metallic,mocha,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,33016,4.8,4.8,4.7,4.6,4.7,4.7,NJ,Dealer
200,2023,ridgeline rtl,New,4.8,red,black,AWD,23–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,6,5.0,4.8,4.8,4.2,5.0,5.0,TX,Dealer
201,2022,cr-v touring,New,4.7,crystal black pearl,black,AWD,27–32,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,3,4.9,4.8,4.7,4.8,4.7,4.9,FL,Dealer
202,2020,cr-v hybrid touring,Used,4.5,platinum white pearl,black,AWD,35–40,Hybrid,cvt,4 Cylinder Engine,19599,4.7,4.6,4.3,4.3,4.6,4.6,AL,Dealer
203,2022,pilot sport,New,4.6,crystal black pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,3,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer
204,2022,pilot sport,New,5.0,sonic gray pearl,mocha,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10,5.0,5.0,5.0,5.0,5.0,5.0,AL,Dealer
205,2016,accord ex,Used,4.7,silver,mocha,FWD,27–37,Gasoline,cvt,4 Cylinder Engine,13893,4.8,4.7,4.7,4.7,4.8,4.8,WI,Dealer
206,2022,hr-v sport,New,4.8,lunar silver metallic,black,AWD,26–31,Gasoline,automatic cvt,1.8L I4 16V MPFI SOHC,5,3.8,3.2,3.6,3.6,4.2,4.2,CT,Dealer
207,2023,cr-v ex-l,New,4.6,urban gray pearl,mocha,AWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,8,5.0,5.0,5.0,4.0,4.0,5.0,IL,Dealer
208,2023,pilot ex-l 8-passenger,New,4.9,platinum white pearl,black,AWD,23–31,Gasoline,10-speed automatic,3.5L V6 24V GDI DOHC,0,5.0,4.8,4.5,4.3,4.9,4.3,OH,Dealer
209,2022,accord sport 1.5t,New,5.0,still night pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,5,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
210,2008,cr-v ex,Used,5.0,silver,black,4WD,20–26,Gasoline,5-speed automatic,2.4L I4 16V MPFI DOHC,163410,4.4,4.4,4.3,4.6,4.4,4.8,PA,Dealer
211,2023,cr-v ex,New,4.8,platinum white pearl,black,AWD,27–32,Gasoline,variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,0,5.0,5.0,5.0,4.0,4.0,5.0,GA,Dealer
212,2022,pilot ex-l,New,3.7,modern steel metallic,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,2,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer
213,2016,pilot touring,Used,4.5,blue,beige,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,115761,4.7,4.6,4.5,4.4,4.6,4.6,NC,Dealer
214,2019,civic si base,Used,4.0,lunar silver metallic,black,FWD,28–38,Gasoline,6-speed manual,1.5L I4 16V GDI DOHC Turbo,34829,4.7,4.8,4.7,4.8,4.8,4.9,LA,Dealer
215,2023,cr-v ex-l,New,4.8,mountain air metallic,black,AWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,6,5.0,5.0,5.0,4.0,4.0,5.0,IL,Dealer
216,2022,pilot trailsport,New,4.6,sonic gray pearl,mocha,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,TN,Dealer
217,2020,cr-v ex-l,Used,4.8,sonic gray pearl,gray,AWD,27–32,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,34773,4.9,4.8,4.8,4.8,4.9,4.9,WV,Dealer
218,2020,civic si base,Used,4.9,lunar silver metallic,black,FWD,26–36,Gasoline,6-speed manual,1.5L I4 16V GDI DOHC Turbo,23519,4.8,4.8,4.8,4.8,4.9,4.9,NY,Dealer
219,2017,cr-v ex,Used,4.7,white diamond pearl,mocha,FWD,28–34,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,100520,4.8,4.8,4.7,4.7,4.8,4.8,FL,Dealer
220,2022,pilot special edition,New,5.0,gray,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,4,5.0,5.0,5.0,5.0,5.0,5.0,PA,Dealer
221,2022,pilot sport,New,4.8,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,PA,Dealer
222,2022,pilot sport,New,5.0,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,3,5.0,5.0,5.0,5.0,5.0,5.0,MD,Dealer
223,2023,passport trailsport,New,4.3,platinum white pearl,black,AWD,23–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,4.9,4.4,5.0,4.7,5.0,4.8,CA,Dealer
224,2008,cr-v ex-l,Used,4.5,white,mocha,4WD,20–26,Gasoline,5-speed automatic,2.4L I4 16V MPFI DOHC,179559,4.4,4.4,4.3,4.6,4.4,4.8,WA,Dealer
225,2022,accord sport 1.5t,New,5.0,still night pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,533,5.0,5.0,5.0,5.0,5.0,5.0,WV,Dealer
226,2023,cr-v ex-l,New,4.8,platinum white pearl,mocha,AWD,23–31,Gasoline,transmission w driver selectable mode,1.5L I4 16V GDI DOHC Turbo,4,5.0,5.0,5.0,4.0,4.0,5.0,OH,Dealer
227,2022,pilot sport,Honda Certified,4.5,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,785,5.0,5.0,5.0,5.0,5.0,5.0,MN,Dealer
228,2023,civic si base,New,4.8,aegean blue metallic,red / black,FWD,23–31,Gasoline,6-speed manual,1.5L I4 16V GDI DOHC Turbo,4,4.9,4.0,4.8,4.0,4.6,4.8,NJ,Dealer
229,2020,hr-v ex,Used,4.7,modern steel metallic,black,AWD,26–31,Gasoline,automatic cvt,1.8L I4 16V MPFI SOHC,10871,4.7,4.8,4.7,4.8,4.8,4.7,OH,Dealer
230,2017,pilot touring,Used,4.7,platinum white pearl,mocha,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,42671,4.8,4.7,4.7,4.6,4.7,4.7,SD,Dealer
231,2019,odyssey elite,Used,5.0,crystal black pearl,gray,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,63697,4.8,4.6,4.5,4.3,4.7,4.5,VT,Dealer
232,2023,civic sport,New,4.6,crystal black pearl,mocha,FWD,23–31,Gasoline,automatic cvt,2.0L I4 16V GDI DOHC,5,4.6,4.9,4.1,4.7,5.0,4.9,TN,Dealer
233,2023,cr-v ex-l,New,5.0,platinum,black,AWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,5,5.0,5.0,5.0,4.0,4.0,5.0,NH,Dealer
234,2021,odyssey elite,Used,4.9,white,mocha,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,19927,5.0,5.0,4.9,4.8,4.8,5.0,IN,Dealer
235,2022,pilot trailsport,New,4.8,platinum white pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,4381,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer
236,2020,fit ex,Honda Certified,3.9,crystal black pearl,black,FWD,31–36,Gasoline,variable,Regular Unleaded I-4 1.5 L/91,29148,4.7,4.6,4.7,4.8,4.5,4.8,WI,Dealer
237,2022,civic si,Used,4.2,black,red / black,FWD,27–37,Gasoline,manual,Intercooled Turbo Premium Unleaded I-4 1.5 L/91,2090,4.2,4.0,4.5,4.2,4.5,5.0,MN,Dealer
238,2014,odyssey touring elite,Used,4.4,white diamond pearl,beige,FWD,19–28,Gasoline,6-speed automatic,3.5L V6 24V MPFI SOHC,139077,4.7,4.6,4.6,4.4,4.6,4.8,KY,Dealer
239,2022,pilot elite,New,4.6,crystal black pearl,mocha,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,6,5.0,5.0,5.0,5.0,5.0,5.0,TN,Dealer
240,2023,cr-v ex-l,New,4.4,radiant red metallic,gray,AWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,4,5.0,5.0,5.0,4.0,4.0,5.0,IL,Dealer
241,2022,passport ex-l,New,4.2,sonic gray pearl,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,8,5.0,5.0,4.9,5.0,4.9,5.0,OH,Dealer
242,2019,civic si base,Used,4.7,lunar silver metallic,black,FWD,28–38,Gasoline,6-speed manual,1.5L I4 16V GDI DOHC Turbo,51383,4.7,4.8,4.7,4.8,4.8,4.9,IL,Dealer
243,2023,odyssey elite,New,4.2,radiant red,beige,FWD,23–31,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,6,5.0,5.0,4.0,4.0,4.0,5.0,OH,Dealer
244,2022,pilot ex-l,New,4.5,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,0,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer
245,2022,pilot sport,New,4.8,sonic gray pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
246,2023,cr-v ex-l,New,5.0,radiant red metallic,gray,AWD,27–32,Gasoline,cvt,4 Cylinder Engine,2,5.0,5.0,5.0,4.0,4.0,5.0,CA,Dealer
247,2022,pilot sport,New,5.0,crystal black pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,3,5.0,5.0,5.0,5.0,5.0,5.0,NC,Dealer
248,2022,pilot black edition,New,4.2,sonic gray pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,14,5.0,5.0,5.0,5.0,5.0,5.0,VA,Dealer
249,2022,ridgeline black edition,Used,4.6,crystal black pearl,black,AWD,18–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,7562,5.0,4.9,4.9,4.3,4.7,5.0,MO,Dealer
250,2014,cr-v ex-l,Used,4.5,red,gray,AWD,22–30,Gasoline,5-speed automatic,2.4L I4 16V MPFI DOHC,131621,4.5,4.5,4.5,4.5,4.6,4.7,CO,Dealer
251,2018,pilot ex-l,Used,4.7,white diamond pearl,beige,AWD,18–26,Gasoline,6-speed automatic,3.5L V6 24V GDI SOHC,43178,4.7,4.6,4.7,4.5,4.6,4.7,GA,Dealer
252,2022,pilot black edition,New,4.8,crystal,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,4,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
253,2023,odyssey sport,New,2.2,crystal black pearl,black,FWD,23–31,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,3,5.0,5.0,4.0,4.0,4.0,5.0,MI,Dealer
254,2022,pilot ex-l,New,4.5,crystal black pearl,mocha,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,WA,Dealer
255,2021,accord hybrid ex-l,Honda Certified,4.6,radiant red metallic,ivory,FWD,48–48,Hybrid,automatic cvt,2.0L I4 16V MPFI DOHC Hybrid,5201,4.7,4.5,4.5,4.4,4.6,4.4,TN,Dealer
256,2019,civic type r touring,Used,4.2,white,red,FWD,22–28,Gasoline,6-speed manual,2.0L I4 16V GDI DOHC Turbo,26770,4.6,4.7,5.0,4.8,4.8,4.8,CO,Dealer
257,2022,accord sport 1.5t,New,4.9,platinum white pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,10,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer
258,2018,odyssey touring,Used,4.6,red,beige,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,72713,4.8,4.7,4.6,4.3,4.7,4.6,CA,Dealer
259,2023,cr-v ex-l,New,4.7,mountain air metallic,black,FWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,12,5.0,5.0,5.0,4.0,4.0,5.0,NC,Dealer
260,2023,ridgeline black edition,New,4.4,platinum white pearl,black,AWD,23–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,1,5.0,4.8,4.8,4.2,5.0,5.0,PA,Dealer
