,Year,Model,Condition,Consumer_Rating,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
26,2018,cr-v ex,Used,4.7,basque red pearl ii,gray,FWD,28–34,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,62285,4.8,4.7,4.7,4.6,4.7,4.7,LA,Dealer
27,2022,pilot sport,New,5.0,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10,5.0,5.0,5.0,5.0,5.0,5.0,NC,Dealer
28,2022,pilot trailsport,New,5.0,sonic gray pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
29,2015,cr-z 3dr cvt,Used,4.2,crystal black pearl,mocha,FWD,36–39,Hybrid,1-speed cvt with overdrive,4 Cylinder Engine,76372,4.5,4.7,4.7,4.9,4.9,5.0,IN,Dealer
30,2022,passport ex-l,New,4.8,obsidian blue,gray,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,2,5.0,5.0,4.9,5.0,4.9,5.0,KY,Dealer
31,2023,hr-v sport,New,4.6,pearl,black,FWD,23–31,Gasoline,automatic,2.0L I4 16V GDI DOHC,5,4.0,5.0,4.0,5.0,5.0,5.0,TX,Dealer
32,2020,odyssey elite,Used,5.0,platinum white pearl,mocha,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,44420,4.8,4.8,4.7,4.6,4.7,4.7,FL,Dealer
33,2022,cr-v hybrid touring,Used,4.4,radiant red metallic,gray,AWD,35–40,Hybrid,automatic cvt,2.0L I4 16V MPFI DOHC Hybrid,15770,4.6,4.9,4.5,4.6,4.8,4.7,MO,Dealer
34,2022,accord sport 1.5t,Used,4.9,silver,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,3617,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer
35,2023,pilot trailsport,New,4.3,sonic gray pearl,black,AWD,23–31,Gasoline,10-speed automatic,3.5L V6 24V GDI DOHC,12,4.5,4.6,4.3,4.6,4.5,5.0,MN,Dealer
36,2020,passport ex-l,Used,4.6,lunar silver metallic,mocha,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,14005,4.9,4.8,4.8,4.6,4.8,4.8,NJ,Dealer
