,MaritalStatus,NumberOfChildren,NumberOfYoungChildren,Minority,Debts,Income,Education,LegalKnowledge,InvolvedInLegalDispute,ExperienceWithCourtProceedings,CourtProceedingsSatisfaction,ExperienceWithMediation,MediationSatisfaction,ExperienceWithArbitration,ArbitrationSatisfaction,BF2,BF3,BF4,BF6,BF10,BF14,TK1,TK2,TK3,TK4,TK5,TK6,TK7,TK8,TK9,TK10,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Student status,Employment status,STNumber,Privacy,PublicVindication,NeutralOpinion,MinimizeCosts,MaintainImproveRelationship,CreativeSolution,ShiftResponsibility,Classification,StrengthPosition,Feelings_anger,Feelings_hate,Feelings_stress,Feelings_sadness,Feelings_indifference,Feelings_frustration,Feelings_confusion,Feelings_happiness,Feelings_fear,Decision
75,3,0,0,0,1,2,3,2,0,0,0,0,0,0,0,1,4,3,5,1,2,1,1,1,1,1,0,0,1,0,0,1,4,6,17,33,1,5,1,4,2,4,4,5,5,4,3,0,1,0,1,0,0,1,0,0,0,4
76,3,0,0,0,1,2,3,2,0,0,0,0,0,0,0,1,4,3,5,1,2,1,1,1,1,1,0,0,1,0,0,1,4,6,17,33,1,5,5,5,1,3,5,5,4,4,0,0,1,0,1,1,0,1,0,0,0,4
77,3,0,0,0,1,2,3,2,0,0,0,0,0,0,0,1,4,3,5,1,2,1,1,1,1,1,0,0,1,0,0,1,4,6,17,33,1,5,8,5,1,3,4,2,4,3,0,1,0,0,1,1,0,1,0,0,1,2
78,3,0,0,0,1,2,3,2,0,0,0,0,0,0,0,4,2,4,3,3,5,0,1,1,1,0,1,1,1,0,1,1,4,38,16,32,1,5,8,3,4,3,4,4,4,5,0,0,1,0,0,0,0,1,1,0,1,5
79,3,0,0,0,1,2,3,2,0,0,0,0,0,0,0,4,2,4,3,3,5,0,1,1,1,0,1,1,1,0,1,1,4,38,16,32,1,5,4,2,4,4,5,2,4,4,4,0,1,0,1,1,0,1,0,0,1,4
80,3,0,0,0,1,2,3,2,0,0,0,0,0,0,0,4,2,4,3,3,5,0,1,1,1,0,1,1,1,0,1,1,4,38,16,32,1,5,2,4,4,5,4,2,5,5,1,1,1,0,1,1,0,1,1,0,1,0
81,1,1,2,1,2,1,0,1,1,0,0,0,0,0,0,2,3,4,2,3,4,0,1,0,0,1,0,1,0,1,0,1,0,55,22,48,0,4,2,3,4,3,5,4,4,4,3,0,0,0,0,0,0,1,0,0,1,3
82,1,1,2,1,2,1,0,1,1,0,0,0,0,0,0,2,3,4,2,3,4,0,1,0,0,1,0,1,0,1,0,1,0,55,22,48,0,4,7,3,2,3,4,3,4,5,0,0,0,0,1,0,0,1,0,0,0,1
83,1,1,2,1,2,1,0,1,1,0,0,0,0,0,0,2,3,4,2,3,4,0,1,0,0,1,0,1,0,1,0,1,0,55,22,48,0,4,10,4,3,4,4,2,4,3,4,1,1,1,0,0,0,1,0,0,0,0
84,3,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,5,3,5,4,1,1,0,1,1,1,0,1,1,1,1,1,4,55,22,48,0,1,10,2,1,4,5,2,5,2,2,0,0,0,0,0,1,0,1,0,0,2
85,3,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,5,3,5,4,1,1,0,1,1,1,0,1,1,1,1,1,4,55,22,48,0,1,9,3,1,3,5,5,5,3,2,0,1,0,1,0,0,1,0,0,0,3
86,3,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,5,3,5,4,1,1,0,1,1,1,0,1,1,1,1,1,4,55,22,48,0,1,3,5,1,1,5,2,5,2,0,1,0,0,1,0,0,0,1,0,0,5
87,1,3,1,1,2,1,4,1,0,0,0,0,0,0,0,1,5,3,3,2,1,0,1,1,1,0,1,0,0,0,0,0,1,56,23,49,1,1,9,3,4,3,5,4,4,2,4,0,0,0,0,0,0,1,0,0,0,3
88,1,3,1,1,2,1,4,1,0,0,0,0,0,0,0,1,5,3,3,2,1,0,1,1,1,0,1,0,0,0,0,0,1,56,23,49,1,1,6,1,2,3,4,3,5,2,0,1,0,0,0,1,0,0,1,0,0,2
89,1,3,1,1,2,1,4,1,0,0,0,0,0,0,0,1,5,3,3,2,1,0,1,1,1,0,1,0,0,0,0,0,1,56,23,49,1,1,5,4,1,3,4,5,4,2,2,0,0,0,0,0,0,0,0,0,0,2
90,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,4,3,4,4,4,4,0,1,0,1,1,1,1,1,0,0,0,4,20,9,15,0,1,6,5,4,4,5,4,5,3,0,0,0,0,1,0,0,1,1,0,0,3
91,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,4,3,4,4,4,4,0,1,0,1,1,1,1,1,0,0,0,4,20,9,15,0,1,10,5,5,3,4,4,4,3,0,0,1,1,1,1,0,1,0,0,0,5
92,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,4,3,4,4,4,4,0,1,0,1,1,1,1,1,0,0,0,4,20,9,15,0,1,3,5,4,5,2,4,4,5,4,0,0,1,1,1,0,1,0,0,0,4
93,3,0,0,0,1,1,0,2,0,0,0,0,0,0,0,5,3,1,5,2,3,0,1,0,0,0,1,1,1,0,1,1,4,20,9,15,0,1,6,3,4,4,3,5,5,3,4,0,0,0,1,0,0,1,0,0,0,3
94,3,0,0,0,1,1,0,2,0,0,0,0,0,0,0,5,3,1,5,2,3,0,1,0,0,0,1,1,1,0,1,1,4,20,9,15,0,1,3,5,3,5,2,4,5,1,4,0,1,0,1,0,0,1,1,0,0,0
95,3,0,0,0,1,1,0,2,0,0,0,0,0,0,0,5,3,1,5,2,3,0,1,0,0,0,1,1,1,0,1,1,4,20,9,15,0,1,4,5,5,5,3,1,5,3,1,0,1,0,1,0,0,1,0,0,0,0
96,3,0,0,0,1,2,3,1,0,0,0,0,0,0,0,5,2,2,4,2,4,0,1,1,0,1,1,0,1,1,1,0,4,39,17,33,1,1,4,1,4,4,5,4,3,4,4,0,0,0,0,0,0,0,0,0,1,0
97,3,0,0,0,1,2,3,1,0,0,0,0,0,0,0,5,2,2,4,2,4,0,1,1,0,1,1,0,1,1,1,0,4,39,17,33,1,1,5,4,3,4,3,4,4,4,4,0,1,0,0,0,0,0,0,0,0,3
98,3,0,0,0,1,2,3,1,0,0,0,0,0,0,0,5,2,2,4,2,4,0,1,1,0,1,1,0,1,1,1,0,4,39,17,33,1,1,8,3,5,2,3,2,3,4,1,0,1,1,0,0,0,0,0,0,0,0
99,1,1,1,0,1,1,4,2,1,1,2,1,2,0,0,2,4,3,4,2,3,0,0,0,0,1,1,0,1,1,0,1,4,38,16,32,0,1,4,4,3,3,4,4,4,2,0,0,1,0,0,0,0,0,1,0,0,4
100,1,1,1,0,1,1,4,2,1,1,2,1,2,0,0,2,4,3,4,2,3,0,0,0,0,1,1,0,1,1,0,1,4,38,16,32,0,1,1,2,4,3,4,2,4,3,1,0,0,1,0,0,0,0,0,0,1,5
