,Class1,Class2,Class3,Class4,Class5,Class6
Class1,431,0,0,0,0,0
Class2,0,439,0,0,0,0
Class3,0,0,441,0,0,0
Class4,0,0,0,445,0,0
Class5,0,0,0,0,444,0
Class6,0,0,0,0,0,435
