,Class1,Class2,Class3,Class4,Class5,Class6
Class1,342,20,7,35,15,12
Class2,38,335,0,28,22,16
Class3,14,8,383,11,22,3
Class4,34,16,13,334,31,17
Class5,31,22,17,47,311,16
Class6,29,23,12,54,25,292
