,Class1,Class2,Class3,Class4,Class5,Class6
Class1,368,13,6,19,14,11
Class2,57,359,3,5,10,5
Class3,21,9,405,2,4,0
Class4,99,67,25,230,10,14
Class5,112,71,32,34,183,12
Class6,71,49,20,18,7,270
