,Class1,Class2,Class3,Class4,Class5,Class6
Class1,218,66,30,70,38,9
Class2,117,90,58,111,31,32
Class3,28,11,341,31,25,5
Class4,109,73,86,102,48,27
Class5,92,50,133,76,71,22
Class6,113,58,109,79,31,45
