,Class1,Class2,Class3,Class4,Class5,Class6
Class1,219,53,17,31,58,53
Class2,79,175,35,47,54,49
Class3,12,17,308,17,47,40
Class4,74,80,58,90,79,64
Class5,63,55,73,58,167,28
Class6,97,57,67,29,49,136
