,Class1,Class2,Class3,Class4,Class5,Class6
Class1,390,7,2,10,11,11
Class2,9,415,1,7,5,2
Class3,0,0,437,1,3,0
Class4,16,8,0,393,17,11
Class5,11,8,2,12,401,10
Class6,10,6,0,8,10,401
